starttime,endtime,logreturn,score
"2016-11-09 00:50:00","2016-11-09 01:50:00",0.0707,0.997
"2016-11-09 01:50:00","2016-11-09 09:20:00",-0.0353,0.7719
"2016-11-09 09:20:00","2016-11-09 10:35:00",1.7867,0.8556
"2016-11-09 10:35:00","2016-11-09 13:35:00",1.3793,0.7289
"2016-11-09 13:35:00","2016-11-09 14:35:00",-0.1199,0.9508
"2016-11-09 14:35:00","2016-11-09 21:30:00",-0.8782,0.7335
"2016-11-09 21:30:00","2016-11-09 22:30:00",-0.3639,0.6602
"2016-11-09 22:30:00","2016-11-09 23:30:00",-0.5919,0.9979
"2016-11-09 23:30:00","2016-11-10 00:30:00",-0.1573,0.9101
"2016-11-10 00:30:00","2016-11-10 01:30:00",-0.4206,0.2873
"2016-11-10 01:30:00","2016-11-10 09:00:00",0.1229,0.6249
"2016-11-10 09:00:00","2016-11-10 10:00:00",0.1227,0.7444
"2016-11-10 10:00:00","2016-11-10 11:15:00",0.2275,0.9951
"2016-11-10 11:15:00","2016-11-10 14:15:00",-0.0175,0.6106
"2016-11-10 14:15:00","2016-11-10 21:10:00",-0.3327,0.684
"2016-11-10 21:10:00","2016-11-10 22:10:00",-0.1756,0.0513
"2016-11-10 22:10:00","2016-11-10 23:10:00",-0.6876,0.9251
"2016-11-10 23:10:00","2016-11-11 00:10:00",-0.0354,0.9976
"2016-11-11 00:10:00","2016-11-11 01:10:00",0.1415,0.8978
"2016-11-11 01:10:00","2016-11-11 02:10:00",-0.1061,0.9082
"2016-11-11 02:10:00","2016-11-11 09:40:00",-0.4789,0.7309
"2016-11-11 09:40:00","2016-11-11 10:55:00",-0.1245,0.565
"2016-11-11 10:55:00","2016-11-11 13:55:00",0.1956,0.8823
"2016-11-11 13:55:00","2016-11-11 14:55:00",0.1065,0.5453
"2016-11-11 14:55:00","2016-11-11 21:50:00",-0.231,0.6971
"2016-11-11 21:50:00","2016-11-11 22:50:00",-1.7223,0.6274
"2016-11-11 22:50:00","2016-11-11 23:50:00",-0.3263,0.2979
"2016-11-11 23:50:00","2016-11-12 00:50:00",0,0.2681
"2016-11-12 00:50:00","2016-11-12 01:50:00",-0.0908,0.2413
"2016-11-12 01:50:00","2016-11-14 09:20:00",-1.0412,0.7639
"2016-11-14 09:20:00","2016-11-14 10:35:00",0.0918,0.7012
"2016-11-14 10:35:00","2016-11-14 13:35:00",-0.2756,0.8354
"2016-11-14 13:35:00","2016-11-14 14:35:00",0.3672,0.5692
"2016-11-14 14:35:00","2016-11-14 21:30:00",0.5483,0.6962
"2016-11-14 21:30:00","2016-11-14 22:30:00",-0.3286,0.6266
"2016-11-14 22:30:00","2016-11-14 23:30:00",-0.0549,0.5639
"2016-11-14 23:30:00","2016-11-15 00:30:00",0.1828,0.7933
"2016-11-15 00:30:00","2016-11-15 01:30:00",0.6735,0.2792
"2016-11-15 01:30:00","2016-11-15 09:00:00",0,0.6494
"2016-11-15 09:00:00","2016-11-15 10:00:00",0.0363,0.6857
"2016-11-15 10:00:00","2016-11-15 11:15:00",-0.0181,0.8282
"2016-11-15 11:15:00","2016-11-15 14:15:00",0.1993,0.7843
"2016-11-15 14:15:00","2016-11-15 21:10:00",-0.1993,0.6994
"2016-11-15 21:10:00","2016-11-15 22:10:00",-0.0544,0.6295
"2016-11-15 22:10:00","2016-11-15 23:10:00",0.3081,0.4701
"2016-11-15 23:10:00","2016-11-16 00:10:00",-0.163,0.4231
"2016-11-16 00:10:00","2016-11-16 01:10:00",0.0544,0.8877
"2016-11-16 01:10:00","2016-11-16 02:10:00",0.0362,0.7989
"2016-11-16 02:10:00","2016-11-16 09:40:00",0.4336,0.6658
"2016-11-16 09:40:00","2016-11-16 10:55:00",-0.0541,0.805
"2016-11-16 10:55:00","2016-11-16 13:55:00",0.0901,0.5918
"2016-11-16 13:55:00","2016-11-16 14:55:00",-0.1443,0.5335
"2016-11-16 14:55:00","2016-11-16 21:50:00",0,0.6411
"2016-11-16 21:50:00","2016-11-16 22:50:00",0,0.577
"2016-11-16 22:50:00","2016-11-16 23:50:00",-0.1626,0.049
"2016-11-16 23:50:00","2016-11-17 00:50:00",0.1986,0.4021
"2016-11-17 00:50:00","2016-11-17 01:50:00",-0.0541,0.3619
"2016-11-17 01:50:00","2016-11-17 09:20:00",0.018,0.6613
"2016-11-17 09:20:00","2016-11-17 10:35:00",0,0.5746
"2016-11-17 10:35:00","2016-11-17 13:35:00",-0.1083,0.5431
"2016-11-17 13:35:00","2016-11-17 14:35:00",-0.1627,0.5753
"2016-11-17 14:35:00","2016-11-17 21:30:00",0.0362,0.5853
"2016-11-17 21:30:00","2016-11-17 22:30:00",0.0362,0.5649
"2016-11-17 22:30:00","2016-11-17 23:30:00",0,0.5084
"2016-11-17 23:30:00","2016-11-18 00:30:00",0.0362,0.4576
"2016-11-18 00:30:00","2016-11-18 01:30:00",-0.1085,0.4118
"2016-11-18 01:30:00","2016-11-18 09:00:00",-0.6718,0.6923
"2016-11-18 09:00:00","2016-11-18 10:00:00",-0.4016,0.5518
"2016-11-18 10:00:00","2016-11-18 11:15:00",0.0914,0.4966
"2016-11-18 11:15:00","2016-11-18 14:15:00",-0.0548,0.6438
"2016-11-18 14:15:00","2016-11-18 21:10:00",0.1644,0.7143
"2016-11-18 21:10:00","2016-11-18 22:10:00",0.0547,0.5106
"2016-11-18 22:10:00","2016-11-18 23:10:00",-0.1461,0.4595
"2016-11-18 23:10:00","2016-11-19 00:10:00",-0.1646,0.4136
"2016-11-19 00:10:00","2016-11-19 01:10:00",0.128,0.3722
"2016-11-19 01:10:00","2016-11-19 02:10:00",0.0183,0.32
"2016-11-19 02:10:00","2016-11-21 09:40:00",0.4194,0.6405
"2016-11-21 09:40:00","2016-11-21 10:55:00",0.0182,0.8372
